"Bio01","Bio02","Bio03","Bio04","Bio05","Bio06","Bio07","Bio08","Bio09","Bio10","Bio11","Bio12","Bio13","Bio14","Bio15","Bio16","Bio17","Bio18","Bio19","gmted","pH.top","pH.dee"
"Bio01",1,0.163642590503256,0.21045786907099,-0.0765302403304636,0.848013723162235,0.707328468083438,0.0469695757660939,-0.0253536865074546,0.555508302896894,0.893130338629465,0.860287204070368,-0.71122845027558,-0.637894914552643,-0.670252661589111,0.10642614088188,-0.647304562122665,-0.683534722265146,-0.635699662934138,-0.619064449304161,-0.291277351829443,0.506510426654825,0.531427767970866
"Bio02",0.163642590503256,1,0.729961758517958,0.324967174312033,0.518629332240772,-0.351709310931597,0.726501757243856,0.0506837472918034,0.545498649556752,0.312228281254106,-0.00485519642414921,0.306705544745688,0.418847154826506,0.0553020637582431,0.523260360425877,0.41281702218095,0.136713010507435,0.0786919550082131,0.425721488369457,0.810083086522795,0.670710136275925,0.572963023662732
"Bio03",0.21045786907099,0.729961758517958,1,-0.389086028600037,0.234514847002479,0.138583114742853,0.063724066673883,-0.118888356317613,0.513706577820838,0.0308572518434651,0.379716824531342,0.150061259208255,0.17524526398144,0.0897197380188417,0.176268220268914,0.204746943437799,0.136602099034261,-0.0961582322697048,0.379144460259378,0.644808752468432,0.753920906234346,0.636700896115641
"Bio04",-0.0765302403304636,0.324967174312033,-0.389086028600037,1,0.325085147215027,-0.687155472476075,0.870596167533603,0.308046606546865,-0.0761208670478266,0.372231466195815,-0.564048552064717,0.276486534794712,0.358521645059782,0.0934854345747743,0.309320162214723,0.306185886786058,0.129183339177328,0.370484525866724,0.0579154159982106,0.159878226377025,-0.177506331563911,-0.133537860661386
"Bio05",0.848013723162235,0.518629332240772,0.234514847002479,0.325085147215027,1,0.301266886003664,0.529440069321309,-0.0257229686244436,0.708650096585188,0.950278575164298,0.560481058448433,-0.487124863769652,-0.344290152190612,-0.634561142026959,0.453268875367828,-0.365066598672304,-0.605933374688307,-0.525443451625245,-0.370580764852754,0.0817301649645654,0.586997115386748,0.593911652132308
"Bio06",0.707328468083438,-0.351709310931597,0.138583114742853,-0.687155472476075,0.301266886003664,1,-0.649430244352325,-0.266200106735712,0.341935203678018,0.35549785424069,0.929367159918773,-0.772424785791793,-0.793467309229317,-0.559729723530149,-0.239209050669098,-0.770003762301244,-0.614280520002588,-0.722380380588035,-0.580453816359416,-0.511201469571627,0.269623987654812,0.312448014546048
"Bio07",0.0469695757660939,0.726501757243856,0.063724066673883,0.870596167533603,0.529440069321309,-0.649430244352325,1,0.216320126614004,0.260914856137412,0.441540312372596,-0.379873472025749,0.298744149816812,0.431371964235371,-0.00806311711963052,0.574289166932146,0.393928235908156,0.0632995877572647,0.223662544258819,0.220891650246166,0.519984299486453,0.22823402562772,0.195648403790388
"Bio08",-0.0253536865074546,0.0506837472918034,-0.118888356317613,0.308046606546865,-0.0257229686244436,-0.266200106735712,0.216320126614004,1,-0.53172572077808,0.0688169170551716,-0.224537352561314,0.394106441191847,0.371307461291857,0.308919000336425,0.0371628226740811,0.364678979648976,0.329490575527095,0.585634662733821,0.065072144179725,-0.199294527573904,-0.245829537720753,-0.262575699007084
"Bio09",0.555508302896894,0.545498649556752,0.513706577820838,-0.0761208670478266,0.708650096585188,0.341935203678018,0.260914856137412,-0.53172572077808,1,0.536837322486534,0.561935863625173,-0.473042789653876,-0.357247981128207,-0.531753289437915,0.359040790760185,-0.366088258175215,-0.506018947697681,-0.737553167153585,-0.093058614081343,0.446011263205504,0.783793047745783,0.790485645361533
"Bio10",0.893130338629465,0.312228281254106,0.0308572518434651,0.372231466195815,0.950278575164298,0.35549785424069,0.441540312372596,0.0688169170551716,0.536837322486534,1,0.555649085410774,-0.547166405769361,-0.436478341488399,-0.598231878194007,0.266430948011735,-0.469106785513953,-0.593830995803365,-0.464679945281479,-0.528254754343071,-0.163380804200323,0.423191946205091,0.471709815665935
"Bio11",0.860287204070368,-0.00485519642414921,0.379716824531342,-0.564048552064717,0.560481058448433,0.929367159918773,-0.379873472025749,-0.224537352561314,0.561935863625173,0.555649085410774,1,-0.735373464461577,-0.703062744803979,-0.624744813644543,-0.0161395491971477,-0.685646061424793,-0.651701840364554,-0.754323823034619,-0.512222764543548,-0.276847990423503,0.542054713875068,0.543719550540364
"Bio12",-0.71122845027558,0.306705544745688,0.150061259208255,0.276486534794712,-0.487124863769652,-0.772424785791793,0.298744149816812,0.394106441191847,-0.473042789653876,-0.547166405769361,-0.735373464461577,1,0.954183728067404,0.842061527015247,0.103528548817551,0.959363459236831,0.885277557286147,0.881978068553485,0.84204848811607,0.496012013179116,-0.14903983352855,-0.222289249129461
"Bio13",-0.637894914552643,0.418847154826506,0.17524526398144,0.358521645059782,-0.344290152190612,-0.793467309229317,0.431371964235371,0.371307461291857,-0.357247981128207,-0.436478341488399,-0.703062744803979,0.954183728067404,1,0.722365812461356,0.344468066087328,0.995444068838891,0.775787574988811,0.817619034703546,0.818087313062175,0.537012706810166,-0.0628752603558239,-0.168426197930384
"Bio14",-0.670252661589111,0.0553020637582431,0.0897197380188417,0.0934854345747743,-0.634561142026959,-0.559729723530149,-0.00806311711963052,0.308919000336425,-0.531753289437915,-0.598231878194007,-0.624744813644543,0.842061527015247,0.722365812461356,1,-0.38257954803303,0.712287710271494,0.994249013563977,0.845673938974697,0.723352912779188,0.269288637621415,-0.21527286730014,-0.195051913460646
"Bio15",0.10642614088188,0.523260360425877,0.176268220268914,0.309320162214723,0.453268875367828,-0.239209050669098,0.574289166932146,0.0371628226740811,0.359040790760185,0.266430948011735,-0.0161395491971477,0.103528548817551,0.344468066087328,-0.38257954803303,1,0.34598219651801,-0.308901774701402,-0.124318634875581,0.153628948555657,0.389296360350049,0.329904144223184,0.184065680726693
"Bio16",-0.647304562122665,0.41281702218095,0.204746943437799,0.306185886786058,-0.365066598672304,-0.770003762301244,0.393928235908156,0.364678979648976,-0.366088258175215,-0.469106785513953,-0.685646061424793,0.959363459236831,0.995444068838891,0.712287710271494,0.34598219651801,1,0.768323845556794,0.809888222710517,0.822362624579689,0.542312354200736,-0.0594935753685824,-0.176340292148679
"Bio17",-0.683534722265146,0.136713010507435,0.136602099034261,0.129183339177328,-0.605933374688307,-0.614280520002588,0.0632995877572647,0.329490575527095,-0.506018947697681,-0.593830995803365,-0.651701840364554,0.885277557286147,0.775787574988811,0.994249013563977,-0.308901774701402,0.768323845556794,1,0.864069839045934,0.763276872103022,0.34225898106983,-0.179192649676809,-0.174433505301954
"Bio18",-0.635699662934138,0.0786919550082131,-0.0961582322697048,0.370484525866724,-0.525443451625245,-0.722380380588035,0.223662544258819,0.585634662733821,-0.737553167153585,-0.464679945281479,-0.754323823034619,0.881978068553485,0.817619034703546,0.845673938974697,-0.124318634875581,0.809888222710517,0.864069839045934,1,0.563251891415171,0.13221228406245,-0.439066113240775,-0.472609837630576
"Bio19",-0.619064449304161,0.425721488369457,0.379144460259378,0.0579154159982106,-0.370580764852754,-0.580453816359416,0.220891650246166,0.065072144179725,-0.093058614081343,-0.528254754343071,-0.512222764543548,0.84204848811607,0.818087313062175,0.723352912779188,0.153628948555657,0.822362624579689,0.763276872103022,0.563251891415171,1,0.711479640316059,0.121491186423525,0.0640888065551788
"gmted",-0.291277351829443,0.810083086522795,0.644808752468432,0.159878226377025,0.0817301649645654,-0.511201469571627,0.519984299486453,-0.199294527573904,0.446011263205504,-0.163380804200323,-0.276847990423503,0.496012013179116,0.537012706810166,0.269288637621415,0.389296360350049,0.542312354200736,0.34225898106983,0.13221228406245,0.711479640316059,1,0.506919824864648,0.407704029616754
"pH.top",0.506510426654825,0.670710136275925,0.753920906234346,-0.177506331563911,0.586997115386748,0.269623987654812,0.22823402562772,-0.245829537720753,0.783793047745783,0.423191946205091,0.542054713875068,-0.14903983352855,-0.0628752603558239,-0.21527286730014,0.329904144223184,-0.0594935753685824,-0.179192649676809,-0.439066113240775,0.121491186423525,0.506919824864648,1,0.953201400896022
"pH.dee",0.531427767970866,0.572963023662732,0.636700896115641,-0.133537860661386,0.593911652132308,0.312448014546048,0.195648403790388,-0.262575699007084,0.790485645361533,0.471709815665935,0.543719550540364,-0.222289249129461,-0.168426197930384,-0.195051913460646,0.184065680726693,-0.176340292148679,-0.174433505301954,-0.472609837630576,0.0640888065551788,0.407704029616754,0.953201400896022,1
